state,city,average_stars,business_count
,,3.75,8031125
AB,AB Edmonton,4.5,2
AB,Alberta Park Industrial,2.0,2
AB,Beaumont,4.0,20
AB,Downtown,3.5,2
AB,East Edmonton,3.0,2
AB,Eaux Claires,1.5,2
AB,EdMonton,3.5,4
AB,Edmonton,3.44,10108
AB,Edmonton City Centre,4.0,2
AB,Enoch,3.13,8
AB,Fort Saskatchewan,2.0,2
AB,NW Edmonton,3.0,2
AB,Old Strathcona,3.0,2
AB,Pilot Sound Area West Portion,1.5,2
AB,Saint Albert,3.95,44
AB,Sherwood,3.5,2
AB,Sherwood Park,3.5,594
AB,Southeast Edmonton,3.75,8
AB,Spruce Grove,4.0,2
